NSG Name,NSG Location,Rule Name,Source,Source Application Security Group,Source Port Range,Access,Priority,Direction,Destination,Destination Application Security Group,Destination Port Range,Resource Group Name,Define Rule
gh-scaff-loadbalancer-instanceone-nsg,eastus,SSH,*,,*,Allow,300,Inbound,*,,22,gh-scaffold-loadbalancer,"{
Name =""SSH""
 priority =""300""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""22""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowVnetInBound,VirtualNetwork,,*,Allow,65000,Inbound,VirtualNetwork,,*,gh-scaffold-loadbalancer,"{
Name =""AllowVnetInBound""
 priority =""65000""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""VirtualNetwork""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowAzureLoadBalancerInBound,AzureLoadBalancer,,*,Allow,65001,Inbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""AllowAzureLoadBalancerInBound""
 priority =""65001""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,DenyAllInBound,*,,*,Deny,65500,Inbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""DenyAllInBound""
 priority =""65500""
 direction = ""Inbound""
 access = ""Deny""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowVnetOutBound,VirtualNetwork,,*,Allow,65000,Outbound,VirtualNetwork,,*,gh-scaffold-loadbalancer,"{
Name =""AllowVnetOutBound""
 priority =""65000""
 direction = ""Outbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""VirtualNetwork""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowInternetOutBound,*,,*,Allow,65001,Outbound,Internet,,*,gh-scaffold-loadbalancer,"{
Name =""AllowInternetOutBound""
 priority =""65001""
 direction = ""Outbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""Internet""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,DenyAllOutBound,*,,*,Deny,65500,Outbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""DenyAllOutBound""
 priority =""65500""
 direction = ""Outbound""
 access = ""Deny""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,SSH,*,,*,Allow,300,Inbound,*,,22,gh-scaffold-loadbalancer,"{
Name =""SSH""
 priority =""300""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""22""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowVnetInBound,VirtualNetwork,,*,Allow,65000,Inbound,VirtualNetwork,,*,gh-scaffold-loadbalancer,"{
Name =""AllowVnetInBound""
 priority =""65000""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""VirtualNetwork""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowAzureLoadBalancerInBound,AzureLoadBalancer,,*,Allow,65001,Inbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""AllowAzureLoadBalancerInBound""
 priority =""65001""
 direction = ""Inbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,DenyAllInBound,*,,*,Deny,65500,Inbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""DenyAllInBound""
 priority =""65500""
 direction = ""Inbound""
 access = ""Deny""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowVnetOutBound,VirtualNetwork,,*,Allow,65000,Outbound,VirtualNetwork,,*,gh-scaffold-loadbalancer,"{
Name =""AllowVnetOutBound""
 priority =""65000""
 direction = ""Outbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""VirtualNetwork""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,AllowInternetOutBound,*,,*,Allow,65001,Outbound,Internet,,*,gh-scaffold-loadbalancer,"{
Name =""AllowInternetOutBound""
 priority =""65001""
 direction = ""Outbound""
 access = ""Allow""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""Internet""
}"
gh-scaff-loadbalancer-instanceone-nsg,eastus,DenyAllOutBound,*,,*,Deny,65500,Outbound,*,,*,gh-scaffold-loadbalancer,"{
Name =""DenyAllOutBound""
 priority =""65500""
 direction = ""Outbound""
 access = ""Deny""
 source_port_range = ""*""
 destination_port_range = ""*""
 destination_address_prefix=""*""
}"
